transaction_id,actual_label,predicted_label,risk_score
7d4e9561-000c-44c8-84e4-54af2c4ac209,0.0,0,5.25
fbf88cde-dc62-4f36-ac10-a1b1fd771793,0.0,0,2.72
d746c963-baaa-46a0-80f4-b050e14e1c7d,0.0,0,5.45
e5f8a1cc-4bf6-46d2-b9b2-aa393ff4e244,0.0,0,7.28
34309820-3aec-4fa4-9518-03437830e1e0,1.0,1,69.8
766452f2-3b87-4acb-8892-b93352999ccf,0.0,0,7.45
31de092d-42dc-49e1-9240-e3de481c28cb,0.0,0,1.86
5a978142-7a92-4e57-942e-f993c966aaee,0.0,0,2.55
007de78c-9f8b-4711-9c88-0ae51bacc3a1,0.0,0,7.79
ce10415b-7124-4e40-97eb-b8046d53f132,0.0,0,3.55
2d000434-35e1-43c0-85d6-5ff035ba2a86,0.0,0,4.75
9ae25602-c7cb-4641-82e0-c8c64cecb42f,0.0,0,3.1
3c68b739-8704-4292-a101-40c90bec34de,0.0,0,3.2
af33f3ac-9c62-4c44-b873-7e901d13e78a,0.0,0,2.85
525c27b5-f0bb-465f-9cc6-46221d1d93ee,0.0,0,4.42
1789d820-3c42-4027-830a-b3e5972c5ca4,0.0,0,3.74
4db22c11-801a-40d5-ad02-06a5b5e9aeb5,0.0,0,2.47
d61f3ef0-0065-4fbc-9fe5-8dcb5df35bc2,1.0,1,77.04
cacd3356-8c50-43b8-b0ed-d0f4d3b7c4a2,0.0,0,18.31
64d07d05-9dcb-4bb0-adf7-6bead159a2db,0.0,0,4.3
37df7961-2c15-4c85-bc41-6870eec24b6d,0.0,0,2.23
43f8d7cf-1c13-4652-8acc-f29f778ba734,0.0,0,15.21
b3bb59d2-9a25-4e27-973a-0069275cdfc7,0.0,0,3.59
af247c18-0f17-4173-9f1a-9fe3d714f8d5,1.0,1,58.85
73babf5b-5906-49bf-8d41-ab4d78d9b64a,0.0,0,2.86
8a1d3219-b99a-4505-8ae3-85b7672cfee4,0.0,0,4.02
b0e518e7-fe53-4a63-93c7-ca628c163ce4,0.0,0,2.73
b1a74bb9-17b2-4d36-9f1b-90b3cdc2e129,0.0,0,4.37
3da5ae3f-d0a4-4b0e-b527-206e7b9e8ecd,1.0,1,59.48
54f64d3c-020b-46a6-9f14-c5730dbaa7b0,0.0,0,6.61
e3b2be07-c367-4fc4-8beb-396027829e81,0.0,0,2.28
e5f39f6e-c7b6-40a2-97bd-2da387148516,0.0,0,5.31
6e2a3899-98e7-4fdb-8d14-cfe8e78a4b29,0.0,0,2.39
5d7e5028-4347-4a63-8897-299c1ec981de,1.0,1,51.97
4c152711-e9ce-461b-9ad3-84c0b17c819d,1.0,1,69.83
a41da122-ec58-446d-b81a-1f18938aca00,0.0,0,3.61
03b299b8-1324-471c-92e2-2ffdaf3686ea,0.0,0,4.18
e9cd555a-ee0a-4c07-aa43-3dc3e82930d4,0.0,1,59.4
6cc1edb5-a335-4a3f-b4a4-7fca673c7664,0.0,0,15.1
f5f959a1-ec2f-471b-8110-f9ddd72f635b,0.0,0,4.85
c228fa6e-1864-48c8-a929-c39f42448330,0.0,0,3.07
ad30e9ea-b677-49b6-b221-113a1468898d,0.0,0,2.31
6d04d0a5-34d1-4b0b-b2a8-c18585c49cf1,0.0,0,2.99
5e047373-8108-4301-b174-4c7fdc95e1ca,1.0,0,47.76
4c0cfbb6-ad4d-46bb-a1bb-6cd6e1db276a,0.0,0,4.27
c18ccb9a-1a2d-4724-8f5f-ac26dd301101,1.0,1,58.37
f1a1f4af-a551-4a22-8e42-3d06dad7afdc,0.0,0,2.02
4d573b01-719e-4ca1-af1f-792636024d02,0.0,0,4.03
cbd316ff-227e-4076-b593-a6b2103a77d0,0.0,0,6.05
e27aac1f-9423-40cc-8b4c-b26a1de5c2e4,0.0,0,5.01
1f511758-cae0-4165-ab01-1587a96159e4,0.0,0,4.6
566cba96-e635-46bc-b898-f4394dfa34d4,0.0,0,5.08
8cbafe12-85f8-4901-95d8-e42387f27263,0.0,0,4.81
3831931b-6b71-4a24-847c-8d07f9a2a091,0.0,0,5.49
0ea3b43b-151e-41bb-8224-2887e8792841,0.0,0,3.12
353066b7-fa78-4edd-b901-7a029065b118,0.0,0,1.32
b8b12866-4779-4e65-bda5-2bd75fce1f7f,0.0,0,4.4
2452b312-7723-4fa1-a264-eefc53059011,0.0,0,12.49
10843d39-3820-4216-a6ab-f268517c4a87,0.0,0,2.85
6ce70ae0-61dd-4525-a67e-9df53e29bd11,0.0,0,3.52
e5e4bd93-f6f4-4a32-9eab-a67b3e818a6e,0.0,0,2.25
46f84b0a-002b-45ac-b9de-14e9f1dff8b8,0.0,0,4.53
6fe177f5-9571-4c08-9265-9ebf37100395,0.0,0,2.61
00cd966a-31fa-4e3a-b30d-4fbc39f0983b,0.0,0,2.78
52ec58da-8a53-408d-9980-2a0779c0fd87,0.0,0,4.19
28028652-04dd-4abb-bbb7-bbc691c016a6,0.0,0,5.46
c2493d84-d6b7-42f4-b089-2963d9d36db2,0.0,0,3.91
